id,company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
greenhouse:fiveringsllc:5139668008,Five Rings,Summer Intern 2027 - Quantitative Trader,Summer 2027,False,,Internship,,Quant,New York,unknown,7,,,2026-07-14T13:48:21-04:00,exact,2026-08-07T00:49:01Z,https://job-boards.greenhouse.io/fiveringsllc/jobs/5139668008
greenhouse:fiveringsllc:5349707008,Five Rings,Summer Intern 2027 - Software Developer,Summer 2027,False,,Internship,,Software,New York,unknown,7,,Python; C++; Linux,2026-07-14T13:51:03-04:00,exact,2026-07-14T19:27:53Z,https://job-boards.greenhouse.io/fiveringsllc/jobs/5349707008
greenhouse:akunacapital:8018847,Akuna Capital,"Software Engineer Intern - C++, Summer 2027",Summer 2027,False,,Internship,,Software,"Chicago, IL",unknown,40,,C++; Python,2026-07-13T14:41:20-04:00,exact,2026-07-13T19:44:33Z,https://www.akunacapital.com/careers/job/8018847/?gh_jid=8018847
greenhouse:akunacapital:8018853,Akuna Capital,"Software Engineer Intern - Python, Summer 2027",Summer 2027,False,,Internship,,Software,"Chicago, IL",unknown,40,,Python,2026-07-13T14:21:39-04:00,exact,2026-07-13T19:44:33Z,https://www.akunacapital.com/careers/job/8018853/?gh_jid=8018853
greenhouse:akunacapital:8018856,Akuna Capital,"Platform Engineer Intern, Summer 2027",Summer 2027,False,,Internship,,Software,"Chicago, IL",unknown,40,,AWS; Kubernetes,2026-07-13T14:21:52-04:00,exact,2026-07-13T19:44:33Z,https://www.akunacapital.com/careers/job/8018856/?gh_jid=8018856
greenhouse:akunacapital:8018886,Akuna Capital,"Software Engineer Intern - C# .NET Desktop, Summer 2027",Summer 2027,False,,Internship,,Software,"Chicago, IL",unknown,40,,C#; .NET; Git,2026-07-13T14:21:28-04:00,exact,2026-07-13T19:44:33Z,https://www.akunacapital.com/careers/job/8018886/?gh_jid=8018886
greenhouse:akunacapital:8018893,Akuna Capital,"Software Engineer Intern - Full Stack Web, Summer 2027",Summer 2027,False,,Internship,,Software,"Chicago, IL",unknown,40,,Python; TypeScript; JavaScript; React; HTML/CSS; Linux; Git,2026-07-13T14:21:34-04:00,exact,2026-07-13T19:44:33Z,https://www.akunacapital.com/careers/job/8018893/?gh_jid=8018893
greenhouse:akunacapital:8036614,Akuna Capital,"Quantitative Research Intern, Summer 2027",Summer 2027,False,,Internship,,Quant,"Chicago, IL",unknown,40,,Python,2026-07-13T14:28:45-04:00,exact,2026-08-07T00:49:01Z,https://www.akunacapital.com/careers/job/8036614/?gh_jid=8036614
greenhouse:drweng:7668776,DRW,Quantitative Trading Analyst Intern,Not stated,True,,Internship,,Quant,"Chicago, Illinois",unknown,31,,Python,2026-07-13T10:34:56-04:00,exact,2026-08-07T00:49:01Z,https://job-boards.greenhouse.io/drweng/jobs/7668776
greenhouse:drweng:7818540,DRW,Quantitative Research Intern,Not stated,True,,Internship,,Quant,"Chicago, New York City",unknown,31,,Python; scikit-learn; Pandas,2026-07-13T10:32:14-04:00,exact,2026-08-07T00:49:01Z,https://job-boards.greenhouse.io/drweng/jobs/7818540
